CustomerID,Gender,Age,income,spending_score,Gender_encoded,KMeans_Cluster,DBSCAN_Cluster
1,Male,19,15,39,1,3,-1
2,Male,21,15,81,1,3,-1
3,Female,20,16,6,0,3,-1
4,Female,23,16,77,0,3,0
5,Female,31,17,40,0,3,-1
6,Female,22,17,76,0,3,0
7,Female,35,18,6,0,2,-1
8,Female,23,18,94,0,3,-1
9,Male,64,19,3,1,4,-1
10,Female,30,19,72,0,3,0
11,Male,67,19,14,1,4,-1
12,Female,35,19,99,0,3,-1
13,Female,58,20,15,0,2,-1
14,Female,24,20,77,0,3,0
15,Male,37,20,13,1,4,-1
16,Male,22,20,79,1,3,1
17,Female,35,21,35,0,2,-1
18,Male,20,21,66,1,3,1
19,Male,52,23,29,1,4,-1
20,Female,35,23,98,0,3,-1
21,Male,35,24,35,1,3,-1
22,Male,25,24,73,1,3,1
23,Female,46,25,5,0,2,-1
24,Male,31,25,73,1,3,1
25,Female,54,28,14,0,2,-1
26,Male,29,28,82,1,3,1
27,Female,45,28,32,0,2,-1
28,Male,35,28,61,1,3,-1
29,Female,40,29,31,0,2,-1
30,Female,23,29,87,0,3,-1
31,Male,60,30,4,1,4,-1
32,Female,21,30,73,0,3,0
33,Male,53,33,4,1,4,-1
34,Male,18,33,92,1,3,-1
35,Female,49,33,14,0,2,-1
36,Female,21,33,81,0,3,-1
37,Female,42,34,17,0,2,-1
38,Female,30,34,73,0,3,-1
39,Female,36,37,26,0,2,-1
40,Female,20,37,75,0,3,-1
41,Female,65,38,35,0,2,-1
42,Male,24,38,92,1,3,-1
43,Male,48,39,36,1,4,-1
44,Female,31,39,61,0,3,3
45,Female,49,39,28,0,2,-1
46,Female,24,39,65,0,3,-1
47,Female,50,40,55,0,2,2
48,Female,27,40,47,0,3,3
49,Female,29,40,42,0,3,3
50,Female,31,40,42,0,3,3
51,Female,49,42,52,0,2,2
52,Male,33,42,60,1,3,-1
53,Female,31,43,54,0,3,3
54,Male,59,43,60,1,4,4
55,Female,50,43,45,0,2,2
56,Male,47,43,41,1,4,4
57,Female,51,44,50,0,2,2
58,Male,69,44,46,1,4,4
59,Female,27,46,51,0,3,3
60,Male,53,46,46,1,4,4
61,Male,70,46,56,1,4,4
62,Male,19,46,55,1,3,-1
63,Female,67,47,52,0,2,-1
64,Female,54,47,59,0,2,2
65,Male,63,48,51,1,4,4
66,Male,18,48,59,1,3,-1
67,Female,43,48,50,0,2,2
68,Female,68,48,48,0,2,-1
69,Male,19,48,59,1,3,-1
70,Female,32,48,47,0,3,3
71,Male,70,49,55,1,4,4
72,Female,47,49,42,0,2,2
73,Female,60,50,49,0,2,-1
74,Female,60,50,56,0,2,2
75,Male,59,54,47,1,4,4
76,Male,26,54,54,1,3,5
77,Female,45,54,53,0,2,2
78,Male,40,54,48,1,4,-1
79,Female,23,54,52,0,3,3
80,Female,49,54,42,0,2,2
81,Male,57,54,51,1,4,4
82,Male,38,54,55,1,4,-1
83,Male,67,54,41,1,4,4
84,Female,46,54,44,0,2,2
85,Female,21,54,57,0,3,3
86,Male,48,54,46,1,4,4
87,Female,55,57,58,0,2,2
88,Female,22,57,55,0,3,3
89,Female,34,58,60,0,3,-1
90,Female,50,58,46,0,2,2
91,Female,68,59,55,0,2,-1
92,Male,18,59,41,1,3,5
93,Male,48,60,49,1,4,4
94,Female,40,60,40,0,2,-1
95,Female,32,60,42,0,2,3
96,Male,24,60,52,1,3,5
97,Female,47,60,47,0,2,2
98,Female,27,60,50,0,3,3
99,Male,48,61,42,1,4,4
100,Male,20,61,49,1,3,5
101,Female,23,62,41,0,3,3
102,Female,49,62,48,0,2,2
103,Male,67,62,59,1,4,6
104,Male,26,62,55,1,3,5
105,Male,49,62,56,1,4,4
106,Female,21,62,42,0,3,3
107,Female,66,63,50,0,2,-1
108,Male,54,63,46,1,4,4
109,Male,68,63,43,1,4,6
110,Male,66,63,48,1,4,6
111,Male,65,63,52,1,4,6
112,Female,19,63,54,0,3,3
113,Female,38,64,42,0,2,-1
114,Male,19,64,46,1,3,5
115,Female,18,65,48,0,3,3
116,Female,19,65,50,0,3,3
117,Female,63,65,43,0,2,-1
118,Female,49,65,59,0,2,2
119,Female,51,67,43,0,2,2
120,Female,50,67,57,0,2,2
121,Male,27,67,56,1,3,5
122,Female,38,67,40,0,2,-1
123,Female,40,69,58,0,2,-1
124,Male,39,69,91,1,0,8
125,Female,23,70,29,0,1,-1
126,Female,31,70,77,0,0,7
127,Male,43,71,35,1,4,-1
128,Male,40,71,95,1,0,8
129,Male,59,71,11,1,4,-1
130,Male,38,71,75,1,0,-1
131,Male,47,71,9,1,4,-1
132,Male,39,71,75,1,0,-1
133,Female,25,72,34,0,1,3
134,Female,31,72,71,0,0,7
135,Male,20,73,5,1,1,-1
136,Female,29,73,88,0,0,7
137,Female,44,73,7,0,1,-1
138,Male,32,73,73,1,0,-1
